Contact ID (anonymised donor),Categories the donor contributed to,Total donation amount,No. of donations made
104146,"Children,Family,Medical",300,3
104147,"Children,Family,Medical",66,3
104148,"Children,Family,Medical",300,3
104149,"Children,Family,Medical",165,3
104150,"Children,Family,Medical",115.5,3
104151,"Children,Family,Medical",300,3
104152,"Children,Family,Medical",330,3
104153,"Children,Family,Medical",30,3
104154,"Children,Family,Medical",60,3
104155,"Children,Family,Medical",165,3
104156,"Children,Family,Medical",60,3
104157,"Children,Family,Medical",648,3
104158,"Children,Family,Medical",165,3
104159,"Children,Family,Medical",231,6
104160,"Children,Family,Medical",66,3
104161,"Children,Family,Medical",300,3
104162,"Children,Family,Medical",90,3
104163,"Children,Family,Medical",99,3
104164,"Children,Family,Medical",495,6
104165,"Children,Family,Medical",150,3
104166,"Children,Family,Medical",165,3
104167,"Children,Family,Medical",60,3
104168,"Children,Family,Medical",66,3
104169,"Children,Family,Medical",324,3
104170,"Children,Family,Medical",300,3
104171,"Children,Family,Medical",75,3
104172,"Children,Family,Medical",330,3
104173,"Children,Family,Medical",708,6
104174,"Children,Family,Medical",60,3
104175,"Children,Family,Medical",648,3
104176,"Children,Family,Medical",150,3
104177,"Children,Family,Medical",60,3
104178,"Children,Family,Medical",30,3
104179,"Children,Family,Medical",150,3
104180,"Children,Family,Medical",648,3
104181,"Children,Family,Medical",51,3
104182,"Children,Family,Medical",300,3
104183,"Children,Family,Medical",66,3
104184,"Children,Family,Medical",330,3
104185,"Children,Family,Medical",66,3
104186,"Children,Family,Medical",300,3
104187,"Children,Family,Medical",1500,3
104188,"Children,Family,Medical",15,3
104189,"Children,Family,Medical",330,3
104190,"Children,Family,Medical",1500,3
104191,"Children,Family,Medical",165,3
104192,"Children,Family,Medical",1500,3
104193,"Children,Family,Medical",66,3
104194,"Children,Family,Medical",300,3
104195,"Children,Family,Medical",330,3
104196,"Children,Family,Medical",330,3
104197,"Children,Family,Medical",330,3
104198,"Children,Family,Medical",150,3
104199,"Children,Family,Medical",150,3
104200,"Children,Family,Medical",157.5,3
104201,"Children,Family,Medical",472.5,3
104202,"Children,Family,Medical",165,3
104203,"Children,Family,Medical",648,3
104204,"Children,Family,Medical",1500,3
104205,"Children,Family,Medical",648,3
104206,"Children,Family,Medical",948,6
104207,"Children,Family,Medical",648,3
104208,"Children,Family,Medical",165,3
104209,"Children,Family,Medical",60,3
104210,"Children,Family,Medical",648,3
104211,"Children,Family,Medical",150,3
104212,"Children,Family,Medical",300,3
104213,"Children,Family,Medical",150,3
104214,"Children,Family,Medical",150,3
104215,"Children,Family,Medical",165,3
104216,"Children,Family,Medical",150,3
104217,"Children,Family,Medical",648,3
104218,"Children,Family,Medical",165,3
104219,"Children,Family,Medical",300,3
104220,"Children,Family,Medical",3000,3
104221,"Children,Family,Medical",300,3
104222,"Children,Family,Medical",300,3
104223,"Children,Family,Medical",66,3
104224,"Children,Family,Medical",450,3
104225,"Children,Family,Medical",150,3
104226,"Children,Family,Medical",150,3
104227,"Children,Family,Medical",150,3
104228,"Children,Family,Medical",247.5,6
104229,"Children,Family,Medical",157.5,3
104230,"Children,Family,Medical",300,3
104231,"Children,Family,Medical",150,3
104232,"Children,Family,Medical",150,3
104233,"Children,Family,Medical",150,3
104234,"Children,Family,Medical",99,3
104235,"Children,Family,Medical",99,3
104236,"Children,Family,Medical",150,3
104237,"Children,Family,Medical",150,3
104238,"Children,Family,Medical",90,3
104239,"Children,Family,Medical",60,3
104240,"Children,Family,Medical",165,3
104241,"Children,Family,Medical",300,3
104242,"Children,Family,Medical",150,3
104243,"Children,Family,Medical",165,3
104244,"Children,Family,Medical",300,3
104245,"Children,Family,Medical",66,3
104246,"Children,Family,Medical",60,3
104247,"Children,Family,Medical",472.5,3
104248,"Children,Family,Medical",132,3
104249,"Children,Family,Medical",165,3
104250,"Children,Family,Medical",165,3
104251,"Children,Family,Medical",150,3
104252,"Children,Family,Medical",150,3
104253,"Children,Family,Medical",66,3
104254,"Children,Family,Medical",660,6
104255,"Children,Family,Medical",330,3
104256,"Children,Family,Medical",66,3
104257,"Children,Family,Medical",49.5,3
104258,"Children,Family,Medical",300,3
104259,"Children,Family,Medical",150,3
104260,"Children,Family,Medical",33,3
104261,"Children,Family,Medical",265.5,6
104262,"Children,Family,Medical",270,6
104263,"Children,Family,Medical",150,3
104264,"Children,Family,Medical",306,3
104265,"Children,Family,Medical",49.5,3
104266,"Children,Family,Medical",3240,3
104267,"Children,Family,Medical",15,3
104268,"Children,Family,Medical",300,3
104269,"Children,Family,Medical",165,3
104270,"Children,Family,Medical",330,3
104271,"Children,Family,Medical",16.5,6
104272,"Children,Family,Medical",9.9,3
104273,"Children,Family,Medical",165,3
104274,"Children,Family,Medical",300,3
104275,"Children,Family,Medical",330,3
104276,"Children,Family,Medical",30,3
104277,"Children,Family,Medical",66,3
104278,"Children,Family,Medical",330,3
104279,"Children,Family,Medical",5.37,3
104280,"Children,Family,Medical",300,3
104281,"Children,Family,Medical",300,3
104282,"Children,Family,Medical",33,3
104283,"Children,Family,Medical",150,3
104284,"Children,Family,Medical",165,3
104285,"Children,Family,Medical",66,3
104286,"Children,Family,Medical",150,3
104287,"Children,Family,Medical",150,3
104288,"Children,Family,Medical",165,3
104289,"Children,Family,Medical",165,3
104290,"Children,Family,Medical",495,3
104291,"Children,Family,Medical",223.5,6
104292,"Children,Family,Medical",157.5,3
104293,"Children,Family,Medical",26.4,3
104294,"Children,Family,Medical",165,3
104295,"Children,Family,Medical",648,3
104296,"Children,Family,Medical",165,3
104297,"Children,Family,Medical",165,3
104298,"Children,Family,Medical",600,3
104299,"Children,Family,Medical",150,3
104300,"Children,Family,Medical",60,3
104301,"Children,Family,Medical",3060,3
104302,"Children,Family,Medical",648,3
104303,"Children,Family,Medical",33,3
104304,"Children,Family,Medical",30,3
104305,"Children,Family,Medical",33,3
104306,"Children,Family,Medical",150,3
104307,"Children,Family,Medical",648,3
104308,"Children,Family,Medical",82.5,3
104309,"Children,Family,Medical",330,3
104310,"Children,Family,Medical",99,3
104311,"Children,Family,Medical",30,3
104312,"Children,Family,Medical",240,3
104313,"Children,Family,Medical",90,3
104314,"Children,Family,Medical",66,3
104315,"Children,Family,Medical",165,3
104316,"Children,Family,Medical",66,3
104317,"Children,Family,Medical",648,3
104318,"Children,Family,Medical",360,3
104319,"Children,Family,Medical",66,3
104320,"Children,Family,Medical",648,3
104321,"Children,Family,Medical",165,3
104322,"Children,Family,Medical",60,3
104323,"Children,Family,Medical",60,3
104324,"Children,Family,Medical",3888,6
104325,"Children,Family,Medical",600,3
104326,"Children,Family,Medical",990,3
104327,"Children,Family,Medical",330,3
104328,"Children,Family,Medical",630,3
104329,"Children,Family,Medical",300,3
104330,"Children,Family,Medical",165,3
104331,"Children,Family,Medical",60,3
104332,"Children,Family,Medical",813,6
104333,"Children,Family,Medical",150,3
104334,"Children,Family,Medical",600,3
104335,"Children,Family,Medical",150,3
104336,"Children,Family,Medical",648,3
104337,"Children,Family,Medical",75,3
104338,"Children,Family,Medical",600,3
104339,"Children,Family,Medical",165,3
104340,"Children,Family,Medical",33,3
104341,"Children,Family,Medical",330,3
104342,"Children,Family,Medical",300,3
104343,"Children,Family,Medical",648,3
104344,"Children,Family,Medical",157.5,3
104345,"Children,Family,Medical",330,3
104346,"Children,Family,Medical",495,6
104347,"Children,Family,Medical",150,3
104348,"Children,Family,Medical",648,3
104349,"Children,Family,Medical",33,3
104350,"Children,Family,Medical",66,3
104351,"Children,Family,Medical",450,3
104352,"Children,Family,Medical",165,3
104353,"Children,Family,Medical",3450,6
104354,"Children,Family,Medical",300,3
104355,"Children,Family,Medical",648,3
104356,"Children,Family,Medical",150,3
104357,"Children,Family,Medical",300,3
104358,"Children,Family,Medical",300,3
104359,"Children,Family,Medical",300,3
104360,"Children,Family,Medical",157.5,3
104361,"Children,Family,Medical",33,3
104362,"Children,Family,Medical",330,3
104363,"Children,Family,Medical",150,3
104364,"Children,Family,Medical",648,3
104365,"Children,Family,Medical",333,6
104366,"Children,Family,Medical",30,3
104367,"Children,Family,Medical",66,3
104368,"Children,Family,Medical",600,3
104369,"Children,Family,Medical",300,3
104370,"Children,Family,Medical",630,6
104371,"Children,Family,Medical",300,3
104372,"Children,Family,Medical",150,3
104373,"Children,Family,Medical",60,3
104374,"Children,Family,Medical",33,3
104375,"Children,Family,Medical",330,3
104376,"Children,Family,Medical",150,3
104377,"Children,Family,Medical",465,6
104378,"Children,Family,Medical",330,3
104379,"Children,Family,Medical",300,3
104380,"Children,Family,Medical",30,3
104381,"Children,Family,Medical",30,3
104382,"Children,Family,Medical",330,3
104383,"Children,Family,Medical",972,3
104384,"Children,Family,Medical",150,3
104385,"Children,Family,Medical",66,3
104386,"Children,Family,Medical",132,3
104387,"Children,Family,Medical",561,3
104388,"Children,Family,Medical",33,3
104389,"Children,Family,Medical",150,3
104390,"Children,Family,Medical",165,3
104391,"Children,Family,Medical",330,3
104392,"Children,Family,Medical",165,3
104393,"Children,Family,Medical",330,3
104394,"Children,Family,Medical",165,3
104395,"Children,Family,Medical",330,3
104396,"Children,Family,Medical",300,3
104397,"Children,Family,Medical",120,3
104398,"Children,Family,Medical",165,3
104399,"Children,Family,Medical",315,3
104400,"Children,Family,Medical",33,3
104401,"Children,Family,Medical",600,3
104402,"Children,Family,Medical",330,3
104403,"Children,Family,Medical",165,3
104404,"Children,Family,Medical",60,3
104405,"Children,Family,Medical",150,3
104406,"Children,Family,Medical",648,3
104407,"Children,Family,Medical",3240,3
104408,"Children,Family,Medical",330,3
104409,"Children,Family,Medical",300,3
104410,"Children,Family,Medical",150,3
104411,"Children,Family,Medical",66,3
104412,"Children,Family,Medical",150,3
104413,"Children,Family,Medical",300,3
104414,"Children,Family,Medical",450,3
104415,"Children,Family,Medical",630,6
104416,"Children,Family,Medical",330,3
104417,"Children,Family,Medical",1500,3
104418,"Children,Family,Medical",33,3
104419,"Children,Family,Medical",165,3
104420,"Children,Family,Medical",90,3
104421,"Children,Family,Medical",30,3
104422,"Children,Family,Medical",165,3
104423,"Children,Family,Medical",3.3,3
104424,"Children,Family,Medical",330,3
104425,"Children,Family,Medical",33,3
104426,"Children,Family,Medical",165,3
104427,"Children,Family,Medical",165,3
104428,"Children,Family,Medical",165,3
104429,"Children,Family,Medical",330,3
104430,"Children,Family,Medical",15,3
104431,"Children,Family,Medical",165,3
104432,"Children,Family,Medical",495,3
104433,"Children,Family,Medical",165,3
104434,"Children,Family,Medical",396,6
104435,"Children,Family,Medical",330,3
104436,"Children,Family,Medical",165,3
104437,"Children,Family,Medical",66,3
104438,"Children,Family,Medical",165,3
104439,"Children,Family,Medical",648,3
104440,"Children,Family,Medical",330,3
104441,"Children,Family,Medical",495,3
104442,"Children,Family,Medical",300,3
104443,"Children,Family,Medical",150,3
104444,"Children,Family,Medical",66,3
104445,"Children,Family,Medical",165,3
104446,"Children,Family,Medical",165,3
104447,"Children,Family,Medical",300,3
104448,"Children,Family,Medical",165,3
104449,"Children,Family,Medical",66,3
104450,"Children,Family,Medical",300,3
104451,"Children,Family,Medical",82.5,3
104452,"Children,Family,Medical",90,3
104453,"Children,Family,Medical",150,3
104454,"Children,Family,Medical",450,3
104455,"Children,Family,Medical",30,3
104456,"Children,Family,Medical",330,3
104457,"Children,Family,Medical",165,3
104458,"Children,Family,Medical",804,9
104459,"Children,Family,Medical",60,3
104460,"Children,Family,Medical",33,3
104461,"Children,Family,Medical",165,3
104462,"Children,Family,Medical",300,3
104463,"Children,Family,Medical",330,3
104464,"Children,Family,Medical",165,3
104465,"Children,Family,Medical",30,3
104466,"Children,Family,Medical",165,3
104467,"Children,Family,Medical",216,6
104468,"Children,Family,Medical",60,3
104469,"Children,Family,Medical",165,3
104470,"Children,Family,Medical",3000,3
104471,"Children,Family,Medical",33,3
104472,"Children,Family,Medical",99,3
104473,"Children,Family,Medical",150,3
104474,"Children,Family,Medical",157.5,3
104475,"Children,Family,Medical",300,3
104476,"Children,Family,Medical",66,3
104477,"Children,Family,Medical",300,3
104478,"Children,Family,Medical",165,3
104479,"Children,Family,Medical",150,3
104480,"Children,Family,Medical",66,3
104481,"Children,Family,Medical,Migrant Workers,New Start",1950,30
104482,Foreign Domestic Workers,22,1
104483,"Children,Family,Medical",165,3
104484,"Children,Family,Medical",66,3
104485,"Children,Family,Medical",66,3
104486,"Children,Family,Medical",651,6
104487,"Children,Family,Medical",309,6
104488,"Children,Family,Medical",300,3
104489,"Children,Family,Medical",165,3
104490,"Children,Family,Medical",165,3
104491,"Children,Family,Medical",33,3
104492,"Children,Family,Medical",165,3
104493,"Children,Family,Medical",99,3
104494,"Children,Family,Medical",60,3
104495,"Children,Family,Medical",150,3
104496,"Children,Family,Medical",300,3
104497,"Children,Family,Medical",765,6
104498,"Children,Family,Medical",600,3
104499,"Children,Family,Medical",150,3
104500,"Children,Family,Medical",330,3
104501,"Children,Family,Medical",165,3
104502,"Children,Family,Medical",330,3
104503,"Children,Family,Medical",66,3
104504,"Children,Family,Medical",150,3
104505,"Children,Family,Medical",600,3
104506,"Children,Family,Medical",330,3
104507,"Children,Family,Medical",480,6
104508,"Children,Family,Medical",330,3
104509,"Children,Family,Medical",240,6
104510,"Children,Family,Medical",148.5,3
